Step; Train Loss Accum; Val Loss Accum ; lr;  norm ;  dt (s);  Tokens/s;
0; 10.96; 10.96; 8.392e-07; 15.59; 12.49; 655.8511052425521;
10; 9.926; 9.919; 9.231e-06; 4.9; 0.9204; 8900.511256927026;
20; 9.636; 9.609; 1.762e-05; 3.626; 0.9107; 8994.825414502042;
30; 9.447; 9.426; 2.601e-05; 2.402; 0.906; 9041.750883656305;
40; 9.16; 9.127; 3.441e-05; 2.783; 0.9303; 8805.517884998959;
50; 8.85; 8.82; 4.28e-05; 2.465; 0.9284; 8823.320235550547;
60; 8.503; 8.468; 5.119e-05; 1.885; 0.9125; 8977.460124462616;
70; 8.203; 8.167; 5.958e-05; 1.815; 0.9246; 8859.872765482332;
80; 7.917; 7.88; 6.797e-05; 1.176; 0.9288; 8819.68745007444;
90; 7.703; 7.655; 7.636e-05; 1.201; 0.9084; 9018.322969707024;
100; 7.554; 7.491; 8.476e-05; 1.222; 0.9242; 8863.552456326808;
110; 7.459; 7.381; 9.315e-05; 1.317; 0.9299; 8809.552326729196;
120; 7.407; 7.323; 0.0001015; 1.383; 0.928; 8827.13742899187;
130; 7.368; 7.282; 0.0001099; 1.329; 0.9252; 8854.048649708646;
140; 7.319; 7.218; 0.0001183; 0.88; 0.9283; 8824.265159373452;
150; 7.283; 7.184; 0.0001267; 1.443; 0.9235; 8870.160709122601;
160; 7.235; 7.124; 0.0001351; 0.9725; 0.9322; 8788.187309515357;
170; 7.199; 7.09; 0.0001435; 1.316; 0.9179; 8924.33152533727;
180; 7.147; 7.041; 0.0001519; 1.216; 0.9315; 8794.584575061685;
190; 7.135; 7.028; 0.0001603; 1.485; 0.9396; 8719.044016028343;
200; 7.085; 6.966; 0.0001687; 1.245; 0.941; 8705.978759378446;
210; 7.127; 7.006; 0.0001771; 1.387; 0.9305; 8804.258866655717;
220; 7.059; 6.944; 0.0001855; 2.423; 0.94; 8714.795829243487;
230; 7.047; 6.939; 0.0001938; 1.196; 0.938; 8733.44029964367;
240; 6.986; 6.876; 0.0002022; 1.048; 0.9371; 8741.543552604599;
250; 6.958; 6.851; 0.0002106; 1.202; 0.942; 8696.210986465596;
260; 6.938; 6.827; 0.000219; 0.9314; 0.9263; 8844.039318694913;
270; 6.885; 6.783; 0.0002274; 0.949; 0.9299; 8809.737543715706;
280; 6.905; 6.804; 0.0002358; 0.931; 0.9371; 8742.070662216895;
290; 6.873; 6.767; 0.0002442; 0.8514; 0.9391; 8722.815786995137;
300; 6.848; 6.751; 0.0002526; 0.8648; 0.9304; 8804.780029499825;
310; 6.857; 6.762; 0.000261; 0.9381; 0.9361; 8751.375593256602;
320; 6.83; 6.739; 0.0002694; 0.8314; 0.942; 8696.56535394607;
330; 6.827; 6.734; 0.0002778; 0.9541; 0.9288; 8819.565201365349;
340; 6.802; 6.715; 0.0002862; 1.054; 0.9401; 8714.20570094982;
350; 6.813; 6.726; 0.0002945; 1.125; 0.9427; 8690.193352710217;
360; 6.784; 6.695; 0.0003029; 1.16; 0.9248; 8858.168801477541;
370; 6.797; 6.711; 0.0003113; 1.235; 0.9337; 8773.352492547318;
380; 6.767; 6.674; 0.0003197; 1.071; 0.9296; 8812.476049682635;
390; 6.766; 6.672; 0.0003281; 1.35; 0.9173; 8930.710407034001;
400; 6.81; 6.706; 0.0003365; 0.9227; 0.9349; 8762.434059503908;
410; 6.755; 6.658; 0.0003449; 1.21; 0.9286; 8821.43552446863;
420; 6.785; 6.694; 0.0003533; 0.9089; 0.9208; 8897.074965418702;
430; 6.745; 6.668; 0.0003617; 0.8705; 0.9441; 8676.91414865465;
440; 6.724; 6.63; 0.0003701; 0.8982; 0.9269; 8837.590387426862;
450; 6.688; 6.607; 0.0003785; 0.8115; 0.9239; 8867.191726093562;
460; 6.716; 6.632; 0.0003869; 0.9862; 0.9291; 8817.087000112138;
470; 6.692; 6.612; 0.0003952; 1.186; 0.9251; 8854.965936212318;
