Step; Train Loss; Train Loss Avg; Val Loss Avg ; lr;  norm ;  dt (s);  Tokens/s;
0; 10.96; 10.95; 10.95; 8.392e-07; 15.2; 7.29; 4494.981322726352;
1; 10.91; NA; NA; 1.678e-06; 15.0; 0.3868; 84706.20606617907;
2; 10.82; NA; NA; 2.517e-06; 14.74; 0.3915; 83698.79984848356;
3; 10.67; NA; NA; 3.357e-06; 13.17; 0.4048; 80938.95167947837;
4; 10.5; NA; NA; 4.196e-06; 12.32; 0.3906; 83888.07684753239;
5; 10.39; NA; NA; 5.035e-06; 9.63; 0.3927; 83449.73121622959;
6; 10.26; NA; NA; 5.874e-06; 8.296; 0.3981; 82320.80890633601;
7; 10.18; NA; NA; 6.713e-06; 6.656; 0.3919; 83603.0827484601;
8; 10.04; NA; NA; 7.552e-06; 5.91; 0.3903; 83963.61720265358;
9; 9.993; NA; NA; 8.392e-06; 4.826; 0.4002; 81883.96117393325;
10; 9.862; NA; NA; 9.231e-06; 4.403; 0.393; 83368.84106601802;
11; 9.829; NA; NA; 1.007e-05; 3.816; 0.3926; 83463.1099062794;
12; 9.762; NA; NA; 1.091e-05; 3.38; 0.3963; 82688.84803401916;
13; 9.741; NA; NA; 1.175e-05; 3.078; 0.3909; 83820.08396221237;
14; 9.692; NA; NA; 1.259e-05; 3.11; 0.393; 83386.94925576703;
15; 9.725; NA; NA; 1.343e-05; 2.727; 0.3944; 83092.63258980257;
16; 9.632; NA; NA; 1.427e-05; 2.823; 0.3898; 84073.53154463657;
17; 9.739; NA; NA; 1.51e-05; 2.739; 0.3954; 82879.97657344407;
18; 9.633; NA; NA; 1.594e-05; 2.571; 0.3925; 83485.72153193578;
19; 9.575; NA; NA; 1.678e-05; 2.523; 0.3924; 83514.5361438279;
20; 9.641; NA; NA; 1.762e-05; 2.408; 0.3934; 83291.53986406843;
21; 9.556; NA; NA; 1.846e-05; 2.612; 0.3934; 83304.81738261835;
22; 9.642; NA; NA; 1.93e-05; 2.574; 0.3931; 83352.86383432159;
23; 9.654; NA; NA; 2.014e-05; 2.208; 0.3931; 83367.17227122682;
24; 9.541; NA; NA; 2.098e-05; 2.556; 0.3922; 83539.66369437282;
25; 9.477; NA; NA; 2.182e-05; 2.333; 0.3945; 83069.43003081885;
26; 9.412; NA; NA; 2.266e-05; 2.452; 0.3945; 83059.49004324034;
27; 9.399; NA; NA; 2.35e-05; 2.391; 0.3934; 83294.61906360717;
28; 9.345; NA; NA; 2.434e-05; 2.471; 0.3933; 83322.0895379784;
29; 9.328; NA; NA; 2.517e-05; 2.294; 0.3947; 83025.52128270091;
30; 9.417; NA; NA; 2.601e-05; 2.262; 0.3964; 82670.79310309567;
31; 9.348; NA; NA; 2.685e-05; 2.122; 0.3947; 83021.80998588908;
32; 9.341; NA; NA; 2.769e-05; 2.193; 0.3928; 83423.94879925413;
33; 9.28; NA; NA; 2.853e-05; 2.406; 0.3927; 83442.68885669774;
34; 9.237; NA; NA; 2.937e-05; 2.463; 0.3953; 82899.77306858766;
35; 9.174; NA; NA; 3.021e-05; 2.46; 0.399; 82132.00230669341;
36; 9.104; NA; NA; 3.105e-05; 2.31; 0.3957; 82813.45769425671;
37; 9.175; NA; NA; 3.189e-05; 2.71; 0.3938; 83202.79532525555;
38; 9.146; NA; NA; 3.273e-05; 1.909; 0.3933; 83310.52347217921;
39; 9.074; NA; NA; 3.357e-05; 2.424; 0.3985; 82224.57547111678;
40; 9.11; NA; NA; 3.441e-05; 2.165; 0.3945; 83065.31318170253;
41; 8.966; NA; NA; 3.524e-05; 2.43; 0.3958; 82781.98338083616;
42; 8.877; NA; NA; 3.608e-05; 2.567; 0.3934; 83301.08107492185;
43; 9.009; NA; NA; 3.692e-05; 1.778; 0.3976; 82418.45402575596;
44; 8.912; NA; NA; 3.776e-05; 2.112; 0.4002; 81877.91225938052;
45; 8.872; NA; NA; 3.86e-05; 1.871; 0.3958; 82798.69021884829;
46; 8.856; NA; NA; 3.944e-05; 1.884; 0.3977; 82397.60231703054;
47; 8.878; NA; NA; 4.028e-05; 1.797; 0.3949; 82972.14065526998;
48; 8.89; NA; NA; 4.112e-05; 1.838; 0.3938; 83205.16275015014;
49; 8.68; NA; NA; 4.196e-05; 2.071; 0.394; 83167.1491325898;
50; 8.733; NA; NA; 4.28e-05; 2.702; 0.3949; 82978.40243141129;
51; 8.693; NA; NA; 4.364e-05; 2.535; 0.3939; 83192.01768933379;
52; 8.616; NA; NA; 4.448e-05; 2.041; 0.3964; 82662.4894878784;
53; 8.59; NA; NA; 4.531e-05; 1.958; 0.393; 83372.28000536247;
54; 8.601; NA; NA; 4.615e-05; 1.764; 0.3945; 83054.6715115594;
55; 8.569; NA; NA; 4.699e-05; 2.043; 0.3989; 82137.84338230724;
56; 8.421; NA; NA; 4.783e-05; 2.053; 0.3974; 82452.02668432823;
57; 8.558; NA; NA; 4.867e-05; 1.637; 0.392; 83594.59080488993;
58; 8.464; NA; NA; 4.951e-05; 1.85; 0.3917; 83658.29700260704;
59; 8.374; NA; NA; 5.035e-05; 1.744; 0.3954; 82867.6335466942;
60; 8.362; NA; NA; 5.119e-05; 2.062; 0.3959; 82772.31145848766;
61; 8.245; NA; NA; 5.203e-05; 1.893; 0.394; 83162.01618113773;
62; 8.34; NA; NA; 5.287e-05; 2.035; 0.3928; 83414.48067474963;
63; 8.407; NA; NA; 5.371e-05; 1.582; 0.3945; 83059.79122003457;
64; 8.258; NA; NA; 5.455e-05; 1.996; 0.3956; 82840.61166057995;
65; 8.242; NA; NA; 5.538e-05; 1.569; 0.3929; 83392.76780179747;
66; 8.121; NA; NA; 5.622e-05; 2.256; 0.3949; 82977.85135718482;
67; 8.102; NA; NA; 5.706e-05; 1.676; 0.3949; 82979.25410597686;
68; 8.135; NA; NA; 5.79e-05; 1.462; 0.3947; 83025.27050895047;
69; 8.114; NA; NA; 5.874e-05; 1.642; 0.3942; 83116.95393880238;
70; 8.01; NA; NA; 5.958e-05; 1.735; 0.3926; 83465.4414805269;
71; 8.158; NA; NA; 6.042e-05; 1.561; 0.3952; 82914.57662628492;
72; 8.043; NA; NA; 6.126e-05; 1.432; 0.3991; 82111.98206714187;
73; 7.954; NA; NA; 6.21e-05; 1.465; 0.3963; 82688.8977830134;
74; 7.936; NA; NA; 6.294e-05; 1.347; 0.3946; 83034.60031259044;
75; 7.95; NA; NA; 6.378e-05; 1.326; 0.3938; 83215.38955864144;
76; 7.847; NA; NA; 6.462e-05; 1.477; 0.3929; 83401.21878847641;
77; 7.84; NA; NA; 6.545e-05; 1.253; 0.3942; 83132.9917047837;
78; 7.866; NA; NA; 6.629e-05; 1.168; 0.3941; 83139.88129731626;
79; 7.507; NA; NA; 6.713e-05; 1.686; 0.3939; 83186.6802681314;
80; 7.705; NA; NA; 6.797e-05; 1.34; 0.3945; 83065.7148075555;
81; 7.811; NA; NA; 6.881e-05; 1.046; 0.3954; 82881.02615017597;
82; 7.733; NA; NA; 6.965e-05; 1.161; 0.3916; 83677.9066920917;
83; 7.696; NA; NA; 7.049e-05; 1.241; 0.3949; 82985.86770343436;
84; 7.671; NA; NA; 7.133e-05; 1.203; 0.3963; 82680.043404947;
85; 7.617; NA; NA; 7.217e-05; 1.051; 0.3939; 83184.46493594372;
86; 7.596; NA; NA; 7.301e-05; 1.315; 0.3942; 83124.89663560547;
87; 7.684; NA; NA; 7.385e-05; 1.076; 0.3932; 83346.69704785255;
88; 7.659; NA; NA; 7.469e-05; 1.195; 0.3921; 83577.61209208932;
89; 7.555; NA; NA; 7.552e-05; 1.218; 0.3956; 82838.11514850882;
90; 7.522; NA; NA; 7.636e-05; 1.01; 0.3906; 83900.77697448223;
91; 7.401; NA; NA; 7.72e-05; 1.022; 0.3909; 83824.68496706514;
92; 7.843; NA; NA; 7.804e-05; 1.021; 0.3941; 83146.3193208375;
93; 7.579; NA; NA; 7.888e-05; 1.047; 0.3926; 83467.01283230072;
94; 7.578; NA; NA; 7.972e-05; 1.074; 0.3929; 83395.95569738153;
95; 7.612; NA; NA; 8.056e-05; 1.166; 0.3946; 83035.50330809342;
96; 7.418; NA; NA; 8.14e-05; 1.154; 0.3925; 83475.93517689574;
97; 7.474; NA; NA; 8.224e-05; 1.422; 0.3962; 82700.44116785176;
98; 7.906; NA; NA; 8.308e-05; 1.566; 0.3943; 83107.45485835223;
99; 7.567; NA; NA; 8.392e-05; 0.8955; 0.3927; 83439.29476260235;
100; 7.33; 7.382; 7.408; 8.476e-05; 1.067; 0.3786; 86544.91690957235;
101; 7.406; NA; NA; 8.559e-05; 0.9033; 0.3829; 85572.77880289346;
102; 7.197; NA; NA; 8.643e-05; 1.457; 0.3852; 85076.12803609077;
103; 7.244; NA; NA; 8.727e-05; 1.409; 0.3956; 82830.32699786595;
104; 7.279; NA; NA; 8.811e-05; 0.8993; 0.3879; 84468.91759362545;
105; 7.387; NA; NA; 8.895e-05; 1.151; 0.39; 84024.49681940649;
106; 7.394; NA; NA; 8.979e-05; 1.063; 0.3922; 83555.30624736304;
107; 7.416; NA; NA; 9.063e-05; 0.7093; 0.3887; 84294.94960725639;
108; 7.265; NA; NA; 9.147e-05; 1.2; 0.3892; 84201.99164712823;
109; 7.29; NA; NA; 9.231e-05; 0.8022; 0.3913; 83746.9447560876;
110; 7.286; NA; NA; 9.315e-05; 0.8201; 0.3866; 84758.49655635151;
111; 7.366; NA; NA; 9.399e-05; 1.033; 0.3899; 84034.51498924491;
112; 7.254; NA; NA; 9.483e-05; 0.9228; 0.3907; 83862.99515453205;
113; 7.293; NA; NA; 9.566e-05; 1.205; 0.3872; 84626.71874517029;
114; 7.25; NA; NA; 9.65e-05; 0.8721; 0.3908; 83839.51386375976;
115; 7.315; NA; NA; 9.734e-05; 0.959; 0.3903; 83957.20585554656;
116; 7.275; NA; NA; 9.818e-05; 0.7413; 0.3869; 84693.88723623082;
117; 7.237; NA; NA; 9.902e-05; 1.019; 0.3902; 83968.33657971829;
118; 7.45; NA; NA; 9.986e-05; 0.8498; 0.3889; 84266.1623607458;
119; 7.4; NA; NA; 0.0001007; 0.873; 0.3912; 83764.19654994197;
120; 7.203; NA; NA; 0.0001015; 1.05; 0.3906; 83891.76358505734;
121; 7.171; NA; NA; 0.0001024; 0.8602; 0.3926; 83463.0592213294;
122; 7.224; NA; NA; 0.0001032; 0.8036; 0.39; 84017.71664466972;
123; 7.076; NA; NA; 0.0001041; 0.8186; 0.3893; 84168.98931650758;
124; 7.106; NA; NA; 0.0001049; 0.7158; 0.3888; 84279.80413381361;
125; 7.155; NA; NA; 0.0001057; 0.722; 0.3885; 84355.37887601003;
