Step; Train Loss; Train Loss Avg; Val Loss Avg ; lr;  norm ;  dt (s);  Tokens/s;
0; 4.335; 4.374; 4.376; 0.001; 0.0; 0.05393; 18988.73619382364;
1; 4.245; NA; NA; 0.001; 0.0; 0.02819; 36319.233662562576;
2; 4.191; NA; NA; 0.001; 0.0; 0.02662; 38471.92554573223;
3; 4.093; NA; NA; 0.001; 0.0; 0.02586; 39595.90021204019;
4; 4.052; NA; NA; 0.001; 0.0; 0.02559; 40020.567616172346;
5; 3.955; NA; NA; 0.001; 0.0; 0.02585; 39615.98760319144;
6; 3.926; NA; NA; 0.001; 0.0; 0.0268; 38203.63534152264;
7; 3.818; NA; NA; 0.001; 0.0; 0.02566; 39904.55627096283;
8; 3.793; NA; NA; 0.001; 0.0; 0.02608; 39257.504647868016;
9; 3.789; NA; NA; 0.001; 0.0; 0.02615; 39161.21684264274;
10; 3.794; NA; NA; 0.001; 0.0; 0.02624; 39026.35362961482;
11; 3.791; NA; NA; 0.001; 0.0; 0.02612; 39205.901432235805;
12; 3.651; NA; NA; 0.001; 0.0; 0.02619; 39094.202690648264;
13; 3.659; NA; NA; 0.001; 0.0; 0.0261; 39239.929979717504;
14; 3.566; NA; NA; 0.001; 0.0; 0.02579; 39712.32428434056;
15; 3.588; NA; NA; 0.001; 0.0; 0.0257; 39851.978658847765;
16; 3.677; NA; NA; 0.001; 0.0; 0.02548; 40188.33262531463;
17; 3.623; NA; NA; 0.001; 0.0; 0.02561; 39982.19448530096;
18; 3.566; NA; NA; 0.001; 0.0; 0.02553; 40109.89256630556;
19; 3.626; NA; NA; 0.001; 0.0; 0.02559; 40011.99247265749;
20; 3.5; NA; NA; 0.001; 0.0; 0.02543; 40269.34533453346;
21; 3.456; NA; NA; 0.001; 0.0; 0.02565; 39925.32926795259;
22; 3.43; NA; NA; 0.001; 0.0; 0.02554; 40097.535275830196;
23; 3.481; NA; NA; 0.001; 0.0; 0.02589; 39552.87228791395;
24; 3.483; NA; NA; 0.001; 0.0; 0.02625; 39005.44260389422;
25; 3.447; NA; NA; 0.001; 0.0; 0.02571; 39822.0492146791;
26; 3.373; NA; NA; 0.001; 0.0; 0.0253; 40467.0212088378;
27; 3.37; NA; NA; 0.001; 0.0; 0.02923; 35027.217015446346;
28; 3.386; NA; NA; 0.001; 0.0; 0.02588; 39564.531633442646;
29; 3.347; NA; NA; 0.001; 0.0; 0.02554; 40096.78659384773;
30; 3.288; NA; NA; 0.001; 0.0; 0.02552; 40124.88131539612;
31; 3.382; NA; NA; 0.001; 0.0; 0.02565; 39914.94006672676;
32; 3.501; NA; NA; 0.001; 0.0; 0.0257; 39848.65094357128;
33; 3.275; NA; NA; 0.001; 0.0; 0.02592; 39503.75997718974;
34; 3.472; NA; NA; 0.001; 0.0; 0.02576; 39751.65251515572;
35; 3.362; NA; NA; 0.001; 0.0; 0.02555; 40085.55971813897;
36; 3.218; NA; NA; 0.001; 0.0; 0.02565; 39918.64987499187;
37; 3.249; NA; NA; 0.001; 0.0; 0.02554; 40097.909627306;
38; 3.355; NA; NA; 0.001; 0.0; 0.0262; 39084.241477841475;
39; 3.344; NA; NA; 0.001; 0.0; 0.02615; 39165.50214294833;
40; 3.3; NA; NA; 0.001; 0.0; 0.02624; 39029.19074923895;
41; 3.408; NA; NA; 0.001; 0.0; 0.02589; 39546.68105520004;
42; 3.368; NA; NA; 0.001; 0.0; 0.02599; 39405.90034222381;
43; 3.285; NA; NA; 0.001; 0.0; 0.02601; 39367.61378197784;
44; 3.248; NA; NA; 0.001; 0.0; 0.02585; 39611.96849464151;
45; 3.185; NA; NA; 0.001; 0.0; 0.02571; 39833.49838160689;
46; 3.112; NA; NA; 0.001; 0.0; 0.02625; 39005.088372853344;
47; 3.089; NA; NA; 0.001; 0.0; 0.02602; 39347.77741539476;
48; 3.195; NA; NA; 0.001; 0.0; 0.02595; 39463.83262429594;
49; 3.295; NA; NA; 0.001; 0.0; 0.02547; 40202.25111855776;
50; 3.121; NA; NA; 0.001; 0.0; 0.02688; 38095.53933760267;
51; 3.18; NA; NA; 0.001; 0.0; 0.02545; 40243.310339658;
52; 3.293; NA; NA; 0.001; 0.0; 0.02591; 39521.20815274902;
53; 3.107; NA; NA; 0.001; 0.0; 0.02815; 36382.61157136806;
54; 3.108; NA; NA; 0.001; 0.0; 0.02815; 36371.21186921507;
55; 3.185; NA; NA; 0.001; 0.0; 0.02812; 36418.08874379955;
56; 3.349; NA; NA; 0.001; 0.0; 0.02781; 36826.21065267346;
57; 3.131; NA; NA; 0.001; 0.0; 0.02778; 36858.129841152695;
58; 3.125; NA; NA; 0.001; 0.0; 0.02793; 36661.806523205094;
59; 3.286; NA; NA; 0.001; 0.0; 0.0279; 36698.7712525527;
60; 3.24; NA; NA; 0.001; 0.0; 0.02695; 37999.14442439042;
61; 3.079; NA; NA; 0.001; 0.0; 0.02908; 35211.28816088279;
62; 3.12; NA; NA; 0.001; 0.0; 0.02834; 36131.0257756242;
63; 3.049; NA; NA; 0.001; 0.0; 0.02762; 37080.8817978537;
64; 3.116; NA; NA; 0.001; 0.0; 0.02738; 37396.97074393982;
65; 3.18; NA; NA; 0.001; 0.0; 0.02714; 37735.727492378115;
66; 3.274; NA; NA; 0.001; 0.0; 0.02605; 39316.44067703518;
67; 3.221; NA; NA; 0.001; 0.0; 0.02507; 40846.09886828341;
68; 3.147; NA; NA; 0.001; 0.0; 0.0254; 40313.568702540855;
69; 3.174; NA; NA; 0.001; 0.0; 0.02695; 37996.79122395718;
70; 3.06; NA; NA; 0.001; 0.0; 0.02707; 37826.1244088247;
71; 3.009; NA; NA; 0.001; 0.0; 0.02694; 38008.896503508884;
72; 3.009; NA; NA; 0.001; 0.0; 0.02666; 38411.3696373474;
73; 3.211; NA; NA; 0.001; 0.0; 0.02659; 38514.01397096407;
74; 3.171; NA; NA; 0.001; 0.0; 0.02663; 38455.04705966621;
75; 3.126; NA; NA; 0.001; 0.0; 0.02662; 38470.547154770116;
76; 3.073; NA; NA; 0.001; 0.0; 0.02702; 37894.875515047774;
77; 3.018; NA; NA; 0.001; 0.0; 0.02728; 37536.201919211344;
78; 3.126; NA; NA; 0.001; 0.0; 0.02802; 36540.473847200956;
79; 2.979; NA; NA; 0.001; 0.0; 0.02788; 36722.61853501714;
80; 3.018; NA; NA; 0.001; 0.0; 0.02751; 37224.86150859342;
81; 3.003; NA; NA; 0.001; 0.0; 0.02717; 37687.3835894106;
82; 2.948; NA; NA; 0.001; 0.0; 0.02692; 38044.584659810615;
83; 2.914; NA; NA; 0.001; 0.0; 0.02698; 37947.10597881307;
84; 2.882; NA; NA; 0.001; 0.0; 0.02614; 39167.64514481652;
85; 2.982; NA; NA; 0.001; 0.0; 0.02499; 40970.39326153523;
86; 2.943; NA; NA; 0.001; 0.0; 0.02543; 40273.121317255216;
87; 2.981; NA; NA; 0.001; 0.0; 0.02596; 39445.71049658808;
88; 2.87; NA; NA; 0.001; 0.0; 0.02533; 40419.41742894786;
89; 2.973; NA; NA; 0.001; 0.0; 0.02536; 40384.07281411902;
90; 2.949; NA; NA; 0.001; 0.0; 0.02516; 40693.61873720912;
91; 2.948; NA; NA; 0.001; 0.0; 0.02484; 41222.056569185435;
92; 2.887; NA; NA; 0.001; 0.0; 0.02479; 41314.04973114401;
93; 2.888; NA; NA; 0.001; 0.0; 0.02536; 40377.2390595181;
94; 2.929; NA; NA; 0.001; 0.0; 0.02539; 40331.36100364347;
95; 2.825; NA; NA; 0.001; 0.0; 0.02826; 36236.804859734235;
96; 2.831; NA; NA; 0.001; 0.0; 0.02803; 36526.4897393375;
97; 2.941; NA; NA; 0.001; 0.0; 0.02792; 36679.026576484255;
98; 2.904; NA; NA; 0.001; 0.0; 0.02763; 37054.96856127273;
99; 2.871; NA; NA; 0.001; 0.0; 0.02829; 36194.66300363214;
100; 2.795; 2.842; 2.922; 0.001; 0.0; 0.02759; 37118.37607812635;
101; 2.783; NA; NA; 0.001; 0.0; 0.02801; 36559.758388804716;
102; 2.836; NA; NA; 0.001; 0.0; 0.02591; 39521.20815274902;
103; 2.865; NA; NA; 0.001; 0.0; 0.02553; 40114.013355873314;
104; 2.841; NA; NA; 0.001; 0.0; 0.026; 39387.83136927634;
105; 2.835; NA; NA; 0.001; 0.0; 0.02586; 39591.15525934939;
106; 2.746; NA; NA; 0.001; 0.0; 0.02604; 39325.080308010656;
107; 2.79; NA; NA; 0.001; 0.0; 0.02532; 40437.303305621725;
108; 2.811; NA; NA; 0.001; 0.0; 0.02515; 40720.625898325656;
109; 2.722; NA; NA; 0.001; 0.0; 0.02502; 40934.07891426175;
110; 2.789; NA; NA; 0.001; 0.0; 0.02549; 40167.66077474141;
111; 2.715; NA; NA; 0.001; 0.0; 0.02551; 40144.38344487232;
112; 2.782; NA; NA; 0.001; 0.0; 0.02514; 40727.19019126279;
113; 2.79; NA; NA; 0.001; 0.0; 0.02515; 40710.97636944426;
114; 2.807; NA; NA; 0.001; 0.0; 0.02528; 40513.208595091215;
115; 2.766; NA; NA; 0.001; 0.0; 0.02511; 40776.29636380898;
116; 2.827; NA; NA; 0.001; 0.0; 0.02492; 41095.44641763625;
117; 2.872; NA; NA; 0.001; 0.0; 0.02478; 41319.61418057627;
118; 2.778; NA; NA; 0.001; 0.0; 0.02541; 40306.380525160006;
119; 2.761; NA; NA; 0.001; 0.0; 0.02553; 40102.77683265017;
120; 2.762; NA; NA; 0.001; 0.0; 0.0251; 40802.63814101955;
121; 2.705; NA; NA; 0.001; 0.0; 0.02587; 39587.14118753111;
122; 2.725; NA; NA; 0.001; 0.0; 0.0259; 39535.760077323146;
123; 2.775; NA; NA; 0.001; 0.0; 0.02578; 39726.282405608894;
124; 2.752; NA; NA; 0.001; 0.0; 0.0255; 40157.896028124764;
125; 2.732; NA; NA; 0.001; 0.0; 0.0255; 40159.02248735379;
126; 2.658; NA; NA; 0.001; 0.0; 0.02552; 40118.88447167837;
127; 2.689; NA; NA; 0.001; 0.0; 0.02508; 40830.56655575625;
128; 2.713; NA; NA; 0.001; 0.0; 0.02523; 40593.23563158641;
129; 2.742; NA; NA; 0.001; 0.0; 0.02492; 41093.873627004476;
130; 2.738; NA; NA; 0.001; 0.0; 0.02499; 40972.73833532077;
131; 2.688; NA; NA; 0.001; 0.0; 0.02521; 40625.48874868758;
132; 2.755; NA; NA; 0.001; 0.0; 0.02516; 40699.40296979977;
133; 2.737; NA; NA; 0.001; 0.0; 0.02506; 40857.75585996956;
134; 2.778; NA; NA; 0.001; 0.0; 0.02493; 41067.154593436855;
135; 2.667; NA; NA; 0.001; 0.0; 0.02522; 40598.2238354507;
